"modification_probability"	"count"	"element"
6.3	2215	"2"
6.3	691	"19"
6.3	792	"18"
6.3	915	"17"
6.3	889	"16"
6.3	842	"15"
6.3	853	"14"
6.3	1015	"13"
6.3	1241	"12"
6.3	1437	"11"
6.3	1366	"10"
6.3	2264	"1"
6.4	191	"Y"
6.4	1216	"X"
6.4	1127	"9"
6.4	1494	"8"
6.4	1426	"7"
6.4	1568	"6"
6.4	1675	"5"
6.4	1816	"4"
6.4	1663	"3"
6.4	450	"22"
6.4	394	"21"
6.4	723	"20"
6.4	2160	"2"
6.4	668	"19"
6.4	758	"18"
6.4	912	"17"
6.4	904	"16"
6.4	787	"15"
6.4	844	"14"
6.4	952	"13"
6.4	1225	"12"
6.4	1344	"11"
6.4	1340	"10"
6.4	2108	"1"
6.5	207	"Y"
6.5	1161	"X"
6.5	1073	"9"
6.5	1317	"8"
6.5	1336	"7"
6.5	1410	"6"
6.5	1614	"5"
6.5	1705	"4"
6.5	1641	"3"
6.5	362	"22"
6.5	382	"21"
6.5	622	"20"
6.5	2066	"2"
6.5	650	"19"
6.5	761	"18"
6.5	898	"17"
6.5	796	"16"
6.5	757	"15"
6.5	805	"14"
6.5	874	"13"
6.5	1201	"12"
6.5	1348	"11"
6.5	1228	"10"
6.5	2131	"1"
6.6	183	"Y"
6.6	1068	"X"
6.6	1016	"9"
6.6	1256	"8"
6.6	1259	"7"
6.6	1391	"6"
6.6	1538	"5"
6.6	1641	"4"
6.6	1542	"3"
6.6	391	"22"
6.6	420	"21"
6.6	626	"20"
6.6	1962	"2"
6.6	633	"19"
6.6	711	"18"
6.6	842	"17"
6.6	777	"16"
6.6	728	"15"
6.6	820	"14"
6.6	856	"13"
6.6	1177	"12"
6.6	1282	"11"
6.6	1254	"10"
6.6	2019	"1"
6.7	195	"Y"
6.7	1110	"X"
6.7	1009	"9"
6.7	1335	"8"
6.7	1300	"7"
6.7	1362	"6"
6.7	1502	"5"
6.7	1546	"4"
6.7	1589	"3"
6.7	384	"22"
6.7	376	"21"
6.7	634	"20"
6.7	1935	"2"
6.7	557	"19"
6.7	693	"18"
6.7	770	"17"
6.7	794	"16"
6.7	731	"15"
6.7	756	"14"
6.7	823	"13"
6.7	1067	"12"
6.7	1182	"11"
6.7	1085	"10"
6.7	1936	"1"
6.8	181	"Y"
6.8	1073	"X"
6.8	958	"9"
6.8	1223	"8"
6.8	1252	"7"
6.8	1299	"6"
6.8	1473	"5"
6.8	1530	"4"
6.8	1537	"3"
6.8	357	"22"
6.8	320	"21"
6.8	614	"20"
6.8	1832	"2"
6.8	580	"19"
6.8	681	"18"
6.8	769	"17"
6.8	763	"16"
6.8	716	"15"
6.8	758	"14"
6.8	826	"13"
6.8	1012	"12"
6.8	1147	"11"
6.8	1106	"10"
6.8	1906	"1"
6.9	166	"Y"
6.9	1029	"X"
6.9	948	"9"
6.9	1220	"8"
6.9	1220	"7"
6.9	1245	"6"
6.9	1438	"5"
6.9	1455	"4"
6.9	1466	"3"
6.9	345	"22"
6.9	310	"21"
6.9	566	"20"
6.9	1807	"2"
6.9	519	"19"
6.9	620	"18"
6.9	766	"17"
6.9	713	"16"
6.9	624	"15"
6.9	685	"14"
6.9	760	"13"
6.9	972	"12"
6.9	1051	"11"
6.9	1075	"10"
6.9	1855	"1"
7	183	"Y"
7	965	"X"
7	951	"9"
7	1106	"8"
7	1103	"7"
7	1236	"6"
7	1413	"5"
7	1434	"4"
7	1469	"3"
7	320	"22"
7	304	"21"
7	599	"20"
7	1731	"2"
7	570	"19"
7	620	"18"
7	691	"17"
7	651	"16"
7	634	"15"
7	722	"14"
7	748	"13"
7	994	"12"
7	1142	"11"
7	1003	"10"
7	1791	"1"
7.1	181	"Y"
7.1	974	"X"
7.1	838	"9"
7.1	1101	"8"
7.1	1098	"7"
7.1	1199	"6"
7.1	1271	"5"
7.1	1454	"4"
